"name";"type";"country"
"w99式82毫米速射迫击炮";"迫击炮";"中国"
"麦克唐纳F-15E“打击鹰” 双座双发打击战斗机";"战斗机";"美国"
"歼-16战机";"战斗机";"中国"
"LCA战斗机";"战斗机";"印度"
"F-35“闪电II”";"战斗机";"美国"
"FC-1“枭龙”/JF-17“雷电”多用途攻击机";"战斗机";"中国"
"歼-11战斗机";"战斗机";"中国"
"F-15鹰式战斗机";"战斗机";"美国"
"F-16“战隼”";"战斗机";"美国"
"苏-27战斗机";"战斗机";"苏/俄"
"歼-31战斗机";"战斗机";"中国"
"歼-20战斗机";"战斗机";"中国"
"苏-30/苏-33“侧卫” 制空战斗机和对地攻击机";"战斗机";"苏/俄"
"波音FB-1";"战斗机";"美国"
"P-59“空中彗星”战斗机";"战斗机";"美国"
"F/A-18E/F/G“超级大黄蜂”舰载攻击/战斗机";"战斗机";"美国"
"SE 5a/E战斗机";"战斗机";"美国"
"P-51A";"战斗机";"美国"
"XP-26“玩具枪”单座单翼战斗机";"战斗机";"美国"
"波音PW-9单座单发双翼战斗机";"战斗机";"美国"
"贝尔P-63“眼镜蛇王”单翼战斗机";"战斗机";"美国"
"歼-7型战斗机";"战斗机";"中国"
"AMX攻击战斗机";"战斗机";"巴西"
"P-39“空中眼镜蛇”";"战斗机";"美国"
"“鹰”200轻型多用途战斗机";"战斗机";"英国"
"歼-10战斗机";"战斗机";"中国"
"“幻影”Ⅲ/5/50喷气战斗机";"战斗机";"法国"
"“幻影”2000防空／多用途战斗机";"战斗机";"法国"
"“幻影”2000D/N攻击机";"战斗机";"法国"
"EMB-314M（A-29）“超巨嘴鸟” ";"战斗机";"巴西"
"波音F4B-1战斗机";"战斗机";"美国"
"苏-32/苏-33U/苏-34“后卫”远程战斗机/攻击机";"战斗机";"苏/俄"
"EF2000“台风”战斗机";"战斗机";"英国"
"幻影F1战斗机";"战斗机";"法国"
"F9F战斗机";"战斗机";"美国"
"阵风战斗机";"战斗机";"法国"
"波音F2B-1战斗机";"战斗机";"美国"
"洛克希德F-104“星战斗机”";"战斗机";"美国"
"FD/FH“鬼怪”";"战斗机";"美国"
"F4D/F-6“天光”战斗机";"战斗机";"美国"
"F11F/F-11'“虎""";"战斗机";"美国"
"F/A-18A-D“大黄蜂”";"战斗机";"美国"
"F-94“星火”战斗机";"战斗机";"美国"
"F3D/F-10“空中骑士”";"战斗机";"美国"
"F-80/TO/TV“流星”喷射战斗机";"战斗机";"美国"
"F9F-9“美洲狮”轰炸机";"战斗机";"美国"
"F-14“雄猫”战斗机";"战斗机";"美国"
"F-100“超佩刀” 战斗轰炸机";"战斗机";"美国"
"F-117“夜鹰”";"战斗机";"美国"
"F/RF/86A-H “佩刀”";"战斗机";"美国"
"F-86D/K/L “佩刀猛犬”";"战斗机";"美国"
"L-17/U-18“纳维翁” 联络机/通用机";"战斗机";"美国"
"F7U“弯刀”";"战斗机";"美国"
"F-22“猛禽”战斗机";"战斗机";"美国"
"F3H/F-3“恶魔”";"战斗机";"美国"
"F-15A-D“鹰”";"战斗机";"美国"
"F2H/F-2“女妖”";"战斗机";"美国"
"F-82“双野马”";"战斗机";"美国"
"F-4“鬼怪Ⅱ”";"战斗机";"美国"
"F/RF-101E“魔术师”";"战斗机";"美国"
"FJ/F-1“狂怒”";"战斗机";"美国"
"F-5A/B“自由战士";"战斗机";"美国"
"F8U/F-8“十字军战士”";"战斗机";"美国"
"F6F“泼妇”";"战斗机";"美国"
"F6U“海盗船”";"战斗机";"美国"
"F/RF-84F“雷电”";"战斗机";"美国"
"F-105“雷公”战斗轰炸机";"战斗机";"美国"
"F-5E“虎II”";"战斗机";"美国"
"P-40“战斧”";"战斗机";"美国"
"F-84“雷电喷气”";"战斗机";"美国"
"F-89“蝎子”";"战斗机";"美国"
"FR“火球”";"战斗机";"美国"
"P-40 “战鹰/小鹰”";"战斗机";"美国"
"F7F“虎猫”战斗机";"战斗机";"美国"
"P-47“雷电”战斗机";"战斗机";"美国"
"P-51D/K“野马”";"战斗机";"美国"
"F4U/FG-1“海盗”";"战斗机";"美国"
"P-61“黑寡妇”战斗机";"战斗机";"美国"
"P-51B/C“野马”";"战斗机";"美国"
"F4F/FM“野猫”战斗机";"战斗机";"美国"
"F-102“三角剑”截击战斗机";"战斗机";"美国"
"格鲁曼FF/SF";"战斗机";"美国"
"P-38“闪电”";"战斗机";"美国"
"P-35A";"战斗机";"美国"
"F-106“三角标枪”截击机";"战斗机";"美国"
"格鲁曼F2F/F3F";"战斗机";"美国"
"共和43“长矛”";"战斗机";"美国"
"AT-12“卫兵”";"战斗机";"美国"
"歼-5战斗机";"战斗机";"中国"
"歼-6系列战斗机";"战斗机";"中国"
"苏-24“击剑手”战斗轰炸机";"战斗机";"苏/俄"
"NA-50/-68和P-64";"战斗机";"美国"
"苏-35/苏-37“侧卫-E”  全天候防空战斗机";"战斗机";"苏/俄"
"MB-3";"战斗机";"美国"
"米格-29“支点”战斗机";"战斗机";"苏/俄"
"歼-8系列战斗机";"战斗机";"中国"
"歼-7系列战斗机";"战斗机";"中国"
"FW-190“百舌鸟”战斗机";"战斗机";"德国"
"ME-109战斗机";"战斗机";"德国"
"歼-7B/M型 战斗机";"战斗机";"中国"
"苏-25改进型/苏-25TM/苏-39";"战斗机";"苏/俄"
"歼-9战斗机";"战斗机";"中国"
"歼-11B战斗机 ";"战斗机";"中国"
"J-10B战斗机";"战斗机";"中国"
"T-50战斗机";"战斗机";"苏/俄"
"歼-15战斗机";"战斗机";"中国"
"歼-12战斗机";"战斗机";"中国"
"歼-11BS战斗机 ";"战斗机";"中国"
"米格-25战斗机";"战斗机";"苏/俄"
"J2M雷电局地战斗机";"战斗机";"日本"
"J6K1 阵风 陆上战斗机";"战斗机";"日本"
"J8M1秋水局地战斗机 ";"战斗机";"日本"
"Ki-45屠龙/2式复座战斗机 ";"战斗机";"日本"
"Hs 124战斗机";"战斗机";"德国"
"信天翁D．Ⅲ";"战斗机";"德国"
"A2N/90式舰上战斗机";"战斗机";"日本"
"XF-88战斗机";"战斗机";"美国"
"Ar 68战斗机";"战斗机";"德国"
"J7W1震电战斗机";"战斗机";"日本"
"J1N1/2式夜间战斗机";"战斗机";"日本"
"A6M2-N/二式水上战斗机";"战斗机";"日本"
"1MF/10式舰上战斗机";"战斗机";"日本"
"He 219夜枭战斗机";"战斗机";"德国"
"J.I攻击机";"战斗机";"德国"
"92式战斗机";"战斗机";"日本"
"Ki-201火龙战斗机";"战斗机";"日本"
"Bf 108台风式飞机";"战斗机";"德国"
"Ho 229战斗机";"战斗机";"德国"
"Ki-43隼/1式";"战斗机";"日本"
"Me 263战斗机";"战斗机";"德国"
"Ki-49吞龙轰炸机";"战斗机";"日本"
"He 51战斗机";"战斗机";"德国"
"He100战斗机";"战斗机";"德国"
"J5N天雷双发重型战斗机";"战斗机";"日本"
"Me P.1101战斗机";"战斗机";"德国"
"Me 210战斗机";"战斗机";"德国"
"A7M烈风战斗机";"战斗机";"日本"
"Me 209战斗机";"战斗机";"德国"
"Me-262战斗机";"战斗机";"德国"
"J4M·极电（闪电）局地战斗机";"战斗机";"日本"
"Ta 152战斗机";"战斗机";"德国"
"F-2战斗机";"战斗机";"日本"
"斯帕德S．Ⅶ";"战斗机";"法国"
